Spikes_Times,Trial_index,UnitNum,Spike_Time_in_Trial,LogicStim,TrialOutcome,StimType,layer,Unit Type,Whisker
419.948362,88,44,1.654596999999967,8,2,VTN,L2_3,RS,B1
428.056563,90,44,0.4003349999999841,4,2,VTN,L2_3,RS,C2
428.290328,90,44,0.6340999999999894,4,2,VTN,L2_3,RS,C2
429.101758,90,44,1.4455300000000193,4,2,VTN,L2_3,RS,C2
429.119025,90,44,1.4627970000000232,4,2,VTN,L2_3,RS,C2
430.031755,90,44,2.375526999999977,4,2,VTN,L2_3,RS,C2
430.036888,90,44,2.3806599999999776,4,2,VTN,L2_3,RS,C2
434.013305,91,44,1.681666000000007,14,2,RHR,L2_3,RS,C1
434.018472,91,44,1.6868329999999787,14,2,RHR,L2_3,RS,C1
437.561291,92,44,0.5532010000000014,4,2,VTN,L2_3,RS,C2
442.195305,93,44,0.5112030000000232,14,2,RHR,L2_3,RS,C1
447.51885,94,44,1.1562169999999696,15,2,RHR,L2_3,RS,B3
448.703179,94,44,2.3405459999999607,15,2,RHR,L2_3,RS,B3
456.57058,96,44,0.8472040000000334,18,2,Blank,L2_3,RS,Blank
456.660647,96,44,0.9372710000000097,18,2,Blank,L2_3,RS,Blank
457.964875,96,44,2.241499000000033,18,2,Blank,L2_3,RS,Blank
460.73943,97,44,0.3366030000000251,13,2,RHR,L2_3,RS,C2
461.007029,97,44,0.6042019999999866,13,2,RHR,L2_3,RS,C2
461.217028,97,44,0.8142010000000255,13,2,RHR,L2_3,RS,C2
461.54876,97,44,1.1459330000000136,13,2,RHR,L2_3,RS,C2
462.846855,97,44,2.444028000000003,13,2,RHR,L2_3,RS,C2
470.385558,99,44,0.6343880000000013,14,2,RHR,L2_3,RS,C1
470.404857,99,44,0.6536869999999908,14,2,RHR,L2_3,RS,C1
470.948322,99,44,1.1971520000000169,14,2,RHR,L2_3,RS,C1
470.957922,99,44,1.2067519999999945,14,2,RHR,L2_3,RS,C1
474.657107,100,44,0.22872499999999718,1,2,VTN,L2_3,RS,D2
474.80874,100,44,0.3803580000000011,1,2,VTN,L2_3,RS,D2
479.74392,101,44,0.6358870000000252,12,2,RHR,L2_3,RS,C3
479.760586,101,44,0.6525530000000117,12,2,RHR,L2_3,RS,C3
480.431617,101,44,1.3235840000000394,12,2,RHR,L2_3,RS,C3
485.133398,102,44,1.346193000000028,10,2,RHR,L2_3,RS,D2
485.479996,102,44,1.6927910000000566,10,2,RHR,L2_3,RS,D2
489.996111,103,44,1.5302949999999669,15,2,RHR,L2_3,RS,B3
