Spikes_Times,Trial_index,UnitNum,Spike_Time_in_Trial,LogicStim,TrialOutcome,StimType,layer,Unit Type,Whisker
6.62344,0,85,0.17887900000000023,18,2,Blank,L4,RS,Blank
25.380064,4,85,0.21749799999999908,11,2,RHR,L4,RS,D1
25.39603,4,85,0.2334639999999979,11,2,RHR,L4,RS,D1
34.753359,6,85,0.2277300000000011,2,2,VTN,L4,RS,D1
34.757292,6,85,0.2316629999999975,2,2,VTN,L4,RS,D1
35.021791,6,85,0.4961619999999982,2,2,VTN,L4,RS,D1
35.025125,6,85,0.4994960000000006,2,2,VTN,L4,RS,D1
44.126421,8,85,0.24108900000000233,8,2,VTN,L4,RS,B1
44.130088,8,85,0.24475600000000242,8,2,VTN,L4,RS,B1
48.798402,9,85,0.23181900000000155,1,2,VTN,L4,RS,D2
48.807269,9,85,0.24068599999999662,1,2,VTN,L4,RS,D2
49.1945,9,85,0.6279169999999965,1,2,VTN,L4,RS,D2
49.234634,9,85,0.6680509999999984,1,2,VTN,L4,RS,D2
53.467716,10,85,0.2213210000000032,11,2,RHR,L4,RS,D1
58.152064,11,85,0.22185800000000455,12,2,RHR,L4,RS,C3
62.829912,12,85,0.21733400000000103,13,2,RHR,L4,RS,C2
63.028878,12,85,0.41629999999999967,13,2,RHR,L4,RS,C2
63.033178,12,85,0.4206000000000003,13,2,RHR,L4,RS,C2
67.510659,13,85,0.22003000000000839,10,2,RHR,L4,RS,D2
67.937091,13,85,0.6464619999999996,10,2,RHR,L4,RS,D2
67.941691,13,85,0.6510620000000102,10,2,RHR,L4,RS,D2
77.064821,15,85,0.416688999999991,9,2,RHR,L4,RS,D3
77.069587,15,85,0.4214549999999946,9,2,RHR,L4,RS,D3
81.566202,16,85,0.24129899999999793,8,2,VTN,L4,RS,B1
81.590936,16,85,0.2660329999999931,8,2,VTN,L4,RS,B1
81.594469,16,85,0.26956599999999753,8,2,VTN,L4,RS,B1
90.920164,18,85,0.2358380000000011,6,2,VTN,L4,RS,B3
95.756645,19,85,0.3964680000000129,10,2,RHR,L4,RS,D2
96.01001,19,85,0.649833000000001,10,2,RHR,L4,RS,D2
105.134207,21,85,0.41792700000000593,9,2,RHR,L4,RS,D3
114.312303,23,85,0.23528000000000304,0,2,VTN,L4,RS,D3
114.316769,23,85,0.23974599999999668,0,2,VTN,L4,RS,D3
114.322169,23,85,0.24514600000000542,0,2,VTN,L4,RS,D3
114.482602,23,85,0.405579000000003,0,2,VTN,L4,RS,D3
114.697468,23,85,0.6204450000000037,0,2,VTN,L4,RS,D3
114.701901,23,85,0.6248780000000096,0,2,VTN,L4,RS,D3
114.793934,23,85,0.7169109999999961,0,2,VTN,L4,RS,D3
114.798567,23,85,0.7215440000000086,0,2,VTN,L4,RS,D3
114.802701,23,85,0.725678000000002,0,2,VTN,L4,RS,D3
119.004817,24,85,0.24430200000000468,6,2,VTN,L4,RS,B3
119.097917,24,85,0.3374019999999973,6,2,VTN,L4,RS,B3
119.101383,24,85,0.3408680000000004,6,2,VTN,L4,RS,B3
119.400982,24,85,0.640467000000001,6,2,VTN,L4,RS,B3
123.667331,25,85,0.22952500000000953,0,2,VTN,L4,RS,D3
123.814897,25,85,0.37709100000000717,0,2,VTN,L4,RS,D3
123.819297,25,85,0.3814910000000111,0,2,VTN,L4,RS,D3
123.822731,25,85,0.38492500000000973,0,2,VTN,L4,RS,D3
137.696341,28,85,0.21270099999998138,11,2,RHR,L4,RS,D1
138.098073,28,85,0.6144329999999911,11,2,RHR,L4,RS,D1
138.181706,28,85,0.698065999999983,11,2,RHR,L4,RS,D1
142.412589,29,85,0.24505700000000274,3,2,VTN,L4,RS,C3
142.418222,29,85,0.25068999999999164,3,2,VTN,L4,RS,C3
147.511568,30,85,0.6664650000000165,0,2,VTN,L4,RS,D3
