Spikes_Times,Trial_index,UnitNum,Spike_Time_in_Trial,LogicStim,TrialOutcome,StimType,layer,Unit Type,Whisker
39.41164,7,45,0.20743900000000082,13,2,RHR,L2_3,FS,C2
39.599706,7,45,0.395505,13,2,RHR,L2_3,FS,C2
58.770761,11,45,0.8405550000000019,12,2,RHR,L2_3,FS,C3
62.819878,12,45,0.2073000000000036,13,2,RHR,L2_3,FS,C2
62.820745,12,45,0.2081670000000031,13,2,RHR,L2_3,FS,C2
63.045611,12,45,0.4330330000000018,13,2,RHR,L2_3,FS,C2
86.579415,17,45,0.5709799999999916,7,2,VTN,L2_3,FS,B2
95.574579,19,45,0.21440200000000686,10,2,RHR,L2_3,FS,D2
114.318869,23,45,0.24184600000000955,0,2,VTN,L2_3,FS,D3
114.688301,23,45,0.6112779999999987,0,2,VTN,L2_3,FS,D3
119.097917,24,45,0.3374019999999973,6,2,VTN,L2_3,FS,B3
119.16145,24,45,0.40093500000000404,6,2,VTN,L2_3,FS,B3
124.526561,25,45,1.0887550000000061,0,2,VTN,L2_3,FS,D3
125.235892,25,45,1.798086000000012,0,2,VTN,L2_3,FS,D3
125.770923,25,45,2.3331170000000014,0,2,VTN,L2_3,FS,D3
128.12338,26,45,0.006242999999983567,13,2,RHR,L2_3,FS,C2
128.324613,26,45,0.20747599999998556,13,2,RHR,L2_3,FS,C2
128.326679,26,45,0.209541999999999,13,2,RHR,L2_3,FS,C2
128.474245,26,45,0.35710799999998244,13,2,RHR,L2_3,FS,C2
128.553812,26,45,0.4366749999999797,13,2,RHR,L2_3,FS,C2
128.556778,26,45,0.4396409999999946,13,2,RHR,L2_3,FS,C2
128.647145,26,45,0.5300079999999809,13,2,RHR,L2_3,FS,C2
128.728478,26,45,0.6113409999999817,13,2,RHR,L2_3,FS,C2
128.737711,26,45,0.6205739999999764,13,2,RHR,L2_3,FS,C2
128.808411,26,45,0.6912739999999928,13,2,RHR,L2_3,FS,C2
128.88241,26,45,0.7652729999999792,13,2,RHR,L2_3,FS,C2
128.886077,26,45,0.7689399999999864,13,2,RHR,L2_3,FS,C2
129.029843,26,45,0.9127059999999858,13,2,RHR,L2_3,FS,C2
129.033243,26,45,0.916105999999985,13,2,RHR,L2_3,FS,C2
129.115143,26,45,0.9980059999999753,13,2,RHR,L2_3,FS,C2
133.77859,27,45,0.9738410000000215,5,2,VTN,L2_3,FS,C1
137.700674,28,45,0.21703399999998396,11,2,RHR,L2_3,FS,D1
138.117906,28,45,0.6342659999999967,11,2,RHR,L2_3,FS,D1
138.697504,28,45,1.213864000000001,11,2,RHR,L2_3,FS,D1
138.703037,28,45,1.2193969999999865,11,2,RHR,L2_3,FS,D1
139.694633,28,45,2.210993000000002,11,2,RHR,L2_3,FS,D1
139.816799,28,45,2.333158999999995,11,2,RHR,L2_3,FS,D1
139.820699,28,45,2.3370589999999822,11,2,RHR,L2_3,FS,D1
139.904832,28,45,2.4211919999999907,11,2,RHR,L2_3,FS,D1
139.912265,28,45,2.4286249999999825,11,2,RHR,L2_3,FS,D1
142.735654,29,45,0.5681220000000167,3,2,VTN,L2_3,FS,C3
142.82512,29,45,0.6575880000000041,3,2,VTN,L2_3,FS,C3
142.844887,29,45,0.6773550000000057,3,2,VTN,L2_3,FS,C3
142.924053,29,45,0.7565209999999922,3,2,VTN,L2_3,FS,C3
142.928853,29,45,0.7613210000000095,3,2,VTN,L2_3,FS,C3
143.033719,29,45,0.8661869999999965,3,2,VTN,L2_3,FS,C3
143.036819,29,45,0.8692870000000141,3,2,VTN,L2_3,FS,C3
143.124986,29,45,0.9574540000000127,3,2,VTN,L2_3,FS,C3
143.218885,29,45,1.051353000000006,3,2,VTN,L2_3,FS,C3
143.222285,29,45,1.0547530000000052,3,2,VTN,L2_3,FS,C3
143.305985,29,45,1.1384529999999984,3,2,VTN,L2_3,FS,C3
143.309585,29,45,1.1420530000000042,3,2,VTN,L2_3,FS,C3
147.038637,30,45,0.19353399999999965,0,2,VTN,L2_3,FS,D3
147.04707,30,45,0.20196699999999623,0,2,VTN,L2_3,FS,D3
147.944,30,45,1.0988969999999938,0,2,VTN,L2_3,FS,D3
151.569552,31,45,0.041197999999980084,4,2,VTN,L2_3,FS,C2
151.590951,31,45,0.06259699999998247,4,2,VTN,L2_3,FS,C2
151.745084,31,45,0.2167299999999841,4,2,VTN,L2_3,FS,C2
