PYR,PV
31.58768372,22.58928302
33.97567937,25.45745193
46.79101331,42.5111056
29.76857328,22.90720306
49.50013285,33.01658754
54.95868309,45.33820809
47.42616172,28.57373749
33.3623291,12.06824691
33.97369724,38.77318426
37.36494853,45.69824523
33.99314151,35.04402679
46.86226628,36.73032154
26.61948721,20.60216873
40.18636862,23.61098067
34.19294518,34.37872683
66.22076948,40.65048442
46.34393123,24.47576174
43.82204745,12.76972541
31.55771707,44.38055302
44.37598621,51.40439433
34.49657566,34.15188428
25.05941199,40.99665865
35.01823504,44.60722155
39.97141886,22.22956166
35.95599542,17.29819445
43.01454453,46.50699726
38.08242253,31.12528333
54.28599997,26.32204646
29.48169616,40.24727479
26.28547879,33.12857051
43.92303356,
35.73627486,
36.54773451,
30.92447777,
